      0.483787878788; 3;9
      0.455728438228; 3;10
      0.425988455697; 3;9;10
      0.419699883450; 3;8
      0.412935479952; 3;8;9
      0.402336164074; 3;8;10
      0.381133449883; 3;7
      0.363076923077; 9;10
      0.359105477855; 8;10
      0.354622498932; 3;6;9
      0.352912516352; 1;3;9
      0.350480402225; 3;7;10
      0.345274681500; 3;4;9
      0.343511529111; 3;7;9
      0.342085729857; 3;7;8
      0.339035022749; 3;7;9;10
      0.332005962291; 2;3;9
      0.328484378691; 3;4;10
      0.328318764569; 7;9
      0.327406759907; 8;9
      0.324200013005; 1;3;10
      0.323570459760; 3;5;9
      0.321515837224; 0;3;9
      0.319780691883; 3;8;9;10
      0.318342074592; 2;4
      0.315779644607; 0;3;10
      0.312007579455; 7;9;10
      0.306566281047; 3;5;8
      0.306349894152; 1;3;8;9
      0.305748834499; 7;10
      0.305431659338; 3;7;8;10
      0.305393176088; 3;7;8;9
      0.300228909439; 7;8;9;10
      0.299315316826; 8;9;10
      0.298894444975; 3;6;10
      0.296853146853; 2;5
      0.295995878892; 0;3;9;10
      0.294450760341; 3;6;8
      0.293592805575; 1;3;8
      0.292479468664; 3;5;8;9
      0.291654644830; 3;4;8;9
      0.288825757576; 7;8
      0.287138644672; 2;3;8;9
      0.285926154756; 3;7;8;9;10
      0.284963307823; 3;5;10
      0.284559319826; 1;3;9;10
      0.284279560803; 0;3;8;9;10
      0.283793706294; 0;1
      0.282987317665; 3;6;8;9
      0.282355611949; 3;6;9;10
      0.282292357574; 2;3;10
      0.280415976404; 3;4;8;9;10
      0.279441488499; 7;8;9
      0.276764740210; 2;3;8
      0.276282860428; 3;4;8
      0.275276902690; 7;8;10
      0.274509611278; 1;3;7;9;10
      0.273940646880; 1;2;3;9
      0.273395200313; 0;3;8
      0.272821581791; 1;3;7;8;10
      0.272489408375; 3;6;7;9
      0.272142701138; 3;4;7;8
      0.272108689603; 0;3;8;10
      0.271607294652; 0;3;7;8;10
      0.271567457084; 3;5;9;10
      0.271099988763; 3;6;8;9;10
      0.270789023308; 0;3;7;8
      0.269719660095; 0;3;8;9
      0.267897256539; 3;4;7
      0.267449448923; 1;3;7
      0.267082045407; 0;3;7;9;10
      0.266217554686; 3;4;7;10
      0.265871493717; 3;4;7;8;10
      0.265278731863; 0;3;7;10
      0.264449596280; 1;3;7;9
      0.264385602988; 0;9;10
      0.264001517624; 3;4;7;9;10
      0.263620742533; 1;8;10
      0.263593154320; 2;3;8;9;10
      0.263507875741; 2;3;9;10
      0.263105169266; 2;3;7;8;10
      0.261205909147; 3;5;7;8;9
      0.261037867161; 2;7;9;10
      0.261011686754; 1;2;4
      0.260967365967; 4;5
      0.260682657106; 3;4;9;10
      0.260596880928; 1;3;7;8
      0.260111888192; 0;3;6;9
      0.259725478519; 0;3;7
      0.259236537870; 1;3;8;9;10
      0.259144947358; 2;9;10
      0.258964981346; 3;4;8;10
      0.258886768387; 4;9;10
      0.258484483236; 1;9;10
      0.258432666569; 1;3;8;10
      0.257284776602; 6;9;10
      0.256646180818; 2;3;7;9
      0.256579613204; 3;5;8;10
      0.256356925787; 2;3;4;9
