      0.254163045727; 0;1
      0.245424167184; 0;4
      0.230111453875; 0;1;4
      0.223753362301; 1;4
      0.216711531592; 0;3;4
      0.205104300287; 0;1;2
      0.194234906536; 0;1;4;6
      0.193932712068; 1;3;4
      0.192967893546; 0;1;7
      0.191495425077; 0;1;3;4
      0.191437480801; 0;1;4;5
      0.186792437488; 0;1;4;7
      0.183614367522; 0;1;3
      0.178144927282; 0;1;2;4
      0.178134877351; 0;1;6
      0.177639876878; 0;2;4
      0.172348675148; 0;1;5
      0.166039808854; 0;3;4;7
      0.165538924206; 1;4;6
      0.163984029395; 0;4;6
      0.162633110345; 0;2;3;4
      0.162268553048; 1;4;7
      0.161948598999; 1;2;4
      0.161714094176; 1;3;4;7
      0.160423036682; 0;1;2;3;4
      0.159857747486; 1;2;3;4
      0.157724392521; 0;1;3;4;5;7
      0.157457968854; 0;4;5
      0.156825104683; 0;1;3;4;7
      0.156781477797; 0;1;3;7
      0.155877605487; 0;1;3;4;5
      0.155150390190; 0;1;3;4;6
      0.154491947276; 0;1;2;7
      0.154082792598; 0;3;4;5
      0.153503898012; 1;4;5
      0.152122871856; 0;1;3;5
      0.151959119380; 1;3;4;5
      0.151713150119; 1;3;4;6
      0.151587356947; 0;1;4;5;6
      0.149287839983; 1;2;4;5
      0.148740728491; 0;4;7
      0.148187959232; 0;1;2;4;5
      0.148074759269; 0;3;4;6
      0.147222918379; 0;1;6;7
      0.147011680487; 0;1;3;4;5;6
      0.146912658744; 0;2;3;4;5
      0.145639624855; 1;2;4;7
      0.145107831730; 0;2;4;5
      0.144828604117; 0;1;4;6;7
      0.144693596288; 0;2;4;6
      0.143586139875; 0;1;4;5;7
      0.143356195795; 1;2;3;4;7
      0.142997473334; 0;1;2;4;7
      0.142991455428; 0;3;4;6;7
      0.142505930948; 0;1;3;6
      0.142154579958; 0;1;2;4;6
      0.141470292461; 0;1;2;4;5;6
      0.139866574817; 0;1;4;5;6;7
      0.139780619525; 0;4;5;6
      0.139739151816; 0;1;2;4;6;7
      0.139453531611; 0;1;2;3;4;6
      0.139365959994; 0;1;2;6
      0.137994079518; 1;2;3;4;5
      0.137959085767; 0;3;4;5;6
      0.137791350771; 0;3;4;5;7
      0.136112593486; 0;2;4;7
      0.135928016604; 0;1;2;3;4;7
      0.135878957980; 0;1;3;4;6;7
      0.135530726257; 3;4
      0.135441126692; 0;1;2;3;4;5;6
      0.135169575653; 1;4;5;7
      0.135090957783; 1;3;4;6;7
      0.133976977996; 0;1;5;7
      0.133759297318; 1;2;3;4;6
