ps_Pass,Passprozente,ps_Zweikampf,Zweikampfprozente,ps_Fouls,ps_Gefoult,ps_Laufweite,ps_Abseits,ps_Assists,ps_Fusstore,ps_Kopftore,classes,pred_classes,org_pred,source,ps_Laufweite_org
12.21875,65,0.0,0.0,0.03125,0.09375,10.0283168316832,0.0,0.03125,0.0,0.0,Torwart,Torwart,Torwart,0_0,5.1328125
16.3400576368876,62,0.0,0.0,0.0648414985590778,0.129682997118156,10.1056549336411,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,6.09056195965418
10.1305057096248,73,0.0,0.0,0.0,0.146818923327896,10.0954081632653,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,6.05040783034258
12.8235294117647,48,0.0,0.0,0.0,0.294117647058824,9.98565517241379,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,4.55941176470588
12.8636363636364,50,0.0,0.0,0.0,0.227272727272727,9.9881822088526,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,4.66045454545455
20.4444444444444,61,0.0,0.0,0.0,0.0,9.98625,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,4.62666666666667
12.5404858299595,57,0.0,0.0,0.0303643724696356,0.212550607287449,10.0607569721116,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,5.29949392712551
26.6666666666667,74,0.0,0.0,0.0,0.166666666666667,10.089429373246,0.0,0.0,0.0,0.0,Torwart,Torwart,Torwart,0_0,6.03333333333333
14.6511627906977,75,23.7209302325581,25.0,2.44186046511628,1.04651162790698,11.6759847522236,0.872093023255814,0.0,0.174418604651163,0.0,Mittelstuermer,Mittelstuermer,Mittelstuermer,0_0,11.5691860465116
12.9244577412117,51,22.0792819745699,30.0,1.48092744951384,1.8848167539267,10.8431283905967,0.605833956619297,0.0,0.134629768137622,0.0,Mittelstuermer,Mittelstuermer,Mittelstuermer,0_0,10.7421091997008
26.2414578587699,79,27.2665148063781,30.0,2.20387243735763,0.92255125284738,10.4744186046512,0.92255125284738,0.05125284738041,0.25626423690205,0.05125284738041,Mittelstuermer,Mittelstuermer,Mittelstuermer,0_0,10.2777334851936
20.2890173410405,65,30.3963666391412,31.0,1.8579686209744,1.26341866226259,11.5494382022472,0.445912469033856,0.222956234516928,0.222956234516928,0.0743187448389761,Mittelstuermer,Mittelstuermer,Mittelstuermer,0_0,11.4621800165153
