      0.251680328600; 0;1;3
      0.247595081382; 0;3;4
      0.234516225962; 0;3
      0.229925759701; 0;2;3;4
      0.225413252255; 0;1;3;4
      0.223303686630; 0;3;4;6
      0.221836784227; 0;3;4;7
      0.220856370192; 1;4
      0.215671494753; 0;3;4;5
      0.211229426425; 0;1;3;7
      0.210826146524; 3;4;5
      0.210655048077; 3;4
      0.207704611405; 0;3;4;6;7
      0.207537532029; 0;2;3
      0.206842176333; 0;1;3;4;5
      0.203034290622; 0;3;6
      0.201557176145; 0;2;4
      0.200747498564; 0;1;4
      0.200648414395; 0;2;3;4;5
      0.200627937300; 0;2;3;4;7
      0.198974568051; 0;1;2;3;4
      0.198502496204; 0;1;3;4;7
      0.196767497237; 0;3;4;5;7
      0.195141507924; 2;3;4
      0.194893660067; 0;3;5
      0.194401244451; 0;2;3;4;6
      0.193479507866; 1;3;4;5
      0.193056970986; 0;2;4;6
      0.192245562852; 1;3;4
      0.188955755723; 0;2;3;7
      0.187163040247; 0;1;3;6
      0.186481370192; 0;4
      0.185842014773; 0;1;2;3
      0.185563176600; 0;2;4;5
      0.185216346154; 2;4
      0.184951552934; 0;1;3;4;6;7
      0.184721987493; 0;2;4;7
      0.184501374509; 0;1;2;3;6
      0.184391132690; 0;1;3;6;7
      0.184355540808; 0;2;3;4;6;7
      0.184175428870; 0;3;4;5;6;7
      0.183952521826; 2;3;6
      0.182649394523; 0;3;4;5;6
      0.182578125000; 2;6
      0.182328655585; 0;1;3;4;6
      0.181816072692; 0;3;6;7
      0.181409204318; 5;6;7
      0.179985765680; 0;1;3;5
      0.179934645830; 0;1;2;3;4;6
      0.179710943661; 0;2;3;6
      0.179167064388; 0;2;3;4;5;7
      0.179132568144; 3;4;6
      0.178669742746; 0;3;5;7
      0.178489636458; 3;4;7
      0.178443504780; 0;2;6
      0.177769877737; 0;1;2;4
      0.177321097146; 0;3;5;6;7
      0.176749887995; 0;2;3;5
      0.176722503753; 3;4;5;7
      0.176542844644; 1;3;4;7
      0.176472751732; 0;1;2;3;4;5
      0.176445858930; 0;2;3;6;7
      0.175995058149; 2;5;6
      0.175576652534; 0;1;3;4;5;7
      0.175342548077; 1;3
      0.175016968109; 0;3;7
      0.174794502790; 0;1;2;3;4;6;7
      0.174471356139; 2;3;4;6
      0.174315992169; 0;1;2;4;5
      0.174267257669; 0;1;4;7
      0.174020854754; 0;2;3;4;5;6;7
      0.173892837782; 1;3;5
      0.173730151705; 0;1;2;4;6
      0.173566074232; 0;1;2;3;7
      0.172988207177; 0;2;4;6;7
      0.172716344355; 0;4;5;6
      0.172451691228; 0;1;2;6;7
      0.172097973327; 0;1;2;3;4;5;6
      0.172024994962; 3;5;6;7
      0.171858175862; 1;2;7
      0.171683905773; 0;1;4;5
      0.171488504896; 1;2;3;4
      0.171434540531; 0;1;3;5;6;7
      0.170769600211; 0;1;3;4;5;6
      0.170714664558; 0;1;3;4;5;6;7
      0.170606667194; 1;4;7
      0.170480689531; 1;3;4;6;7
      0.170268443195; 0;3;5;6
      0.170096520780; 0;1;2;3;4;7
      0.169920614561; 0;1;2
      0.169385124257; 2;5;6;7
      0.168746988237; 0;2;5;6
      0.168709024708; 2;3;4;6;7
      0.168598934957; 2;3;4;5;6
      0.168551622631; 1;3;6
      0.168422475962; 4;7
      0.168392215367; 0;1;2;4;6;7
      0.168226375755; 3;4;5;6
      0.168062999138; 1;2;4
      0.167887620192; 5;6
      0.167823574322; 2;6;7
      0.167726226094; 2;3;4;5
      0.167687200950; 2;3;5;6
      0.167661624001; 1;2;3;4;5
      0.167165522304; 0;1;2;3;6;7
      0.166650374875; 3;5;7
      0.166613581731; 6;7
      0.166424322962; 1;5;6;7
      0.166162967942; 1;2;4;7
      0.165804455410; 0;2;3;5;6;7
      0.165783858549; 1;3;7
      0.165419508826; 1;5;6
      0.165243758293; 0;2;3;5;6
      0.164990575086; 0;1;2;3;5;6
      0.164978966346; 0;2
      0.164772706374; 2;4;5;6;7
      0.164625846139; 0;4;6
      0.164322819168; 1;3;4;5;7
      0.163990303414; 0;2;3;5;7
