      0.393751172439; 0;3;4;6
      0.392495535714; 0;3;4
      0.391805781025; 0;3;4;5;6
      0.384855384199; 0;3;4;6;7
      0.370833333333; 1;5
      0.369179698773; 0;4;5
      0.366248511905; 0;1;3;4;6;7
      0.365851686508; 0;3;6
      0.365625000000; 3;6
      0.363086084055; 0;1;3;4;6
      0.359787247475; 0;1;3;4
      0.359279310967; 1;3;5
      0.358888933983; 0;2;3;4;6;7
      0.356787337662; 0;4;7
      0.354177083333; 2;3;4;5;6;7
      0.353014204545; 2;5;7
      0.351824630231; 3;4;5;6
      0.350670589827; 3;4;5;6;7
      0.350450171356; 0;2;3;4;6
      0.349005456349; 0;1;2;3;6
      0.348995039683; 1;2;7
      0.348417252886; 0;3;4;5;7
      0.348370851371; 0;1;4;7
      0.346579319986; 0;2;3;4;7
      0.345050511988; 0;3;4;5
      0.343951839827; 0;1;2;3;6;7
      0.343774666306; 4;5;6
      0.343190972222; 1;2;3;6;7
      0.342288690476; 1;2;3;5;6;7
      0.341597222222; 1;2;3;5;6
      0.340398313492; 1;3;4;6;7
      0.339409947691; 0;4;5;6
      0.338054067460; 0;1;2;4;6;7
      0.337465638528; 0;1;4;5;6;7
      0.337450396825; 3;5;6
      0.337299603175; 4;5;7
      0.336875000000; 1;7
      0.336672799423; 0;3;4;7
      0.336669733045; 0;4;6;7
      0.336614583333; 0;2
      0.336473214286; 3;6;7
      0.336352678571; 2;3;5;6;7
      0.336018262987; 0;1;4
      0.335371031746; 0;1;2;3;4;6
      0.335296626984; 0;1;2;3;4;7
      0.335291711760; 2;3;5;7
      0.335104166667; 4;5
      0.335010416667; 0;3;5
      0.334635236291; 0;3;4;5;6;7
      0.334291847042; 2;3;7
      0.333130050505; 0;1;2;4;7
      0.333074675325; 1;4;5
      0.332999007937; 1;3;4;5;6;7
      0.332916666667; 0;3
      0.331875000000; 0;1
      0.331510416667; 0;4
      0.330960633117; 1;2;3;4;7
      0.330604843074; 1;2;6;7
      0.330040494228; 1;3;4;7
      0.329850468975; 0;2;3;6;7
      0.329309613997; 0;2;3;6
      0.328360299423; 0;2;3;4;5;7
      0.327145337302; 2;3;4;5;7
      0.325827516234; 0;2;4
      0.325520337302; 4;6;7
      0.325341179654; 3;4;5;7
      0.325297619048; 0;1;4;5;7
      0.325122474747; 0;2;7
      0.324846230159; 0;2;3
      0.324596636003; 2;6;7
      0.324152281746; 3;4;5
      0.324038735570; 0;6;7
      0.323090232684; 1;2;3;4;5;7
