sepal_length,sepal_width,petal_length,petal_width,classes,test,org_pred_classes_QSM,petal_length_shifted_by_0.05,pred_with_petal_length_shifted_by_0.05
6.1,2.9,4.7,1.4,1,1,1,4.9,1
6.1,2.6,5.6,1.4,2,2,2,5.8,2
7.0,3.2,4.7,1.4,1,1,1,4.9,1
5.2,2.7,3.9,1.4,1,1,1,4.4,1
6.7,3.1,4.4,1.4,1,1,1,4.5,1
6.1,3.0,4.6,1.4,1,1,1,4.7,1
6.8,2.8,4.8,1.4,1,1,1,4.9,1
6.6,3.0,4.4,1.4,1,1,1,4.5,1
6.0,2.2,5.0,1.5,2,2,2,5.1,2
6.0,2.9,4.5,1.5,1,1,1,4.6,1
6.3,2.8,5.1,1.5,2,2,2,5.8,2
6.4,3.2,4.5,1.5,1,1,1,4.6,1
6.9,3.1,4.9,1.5,1,1,1,5.0,2
6.5,2.8,4.6,1.5,1,1,1,4.7,1
5.6,3.0,4.5,1.5,1,1,1,4.6,1
5.4,3.0,4.5,1.5,1,1,1,4.6,1
5.9,3.0,4.2,1.5,1,1,1,4.4,1
6.2,2.2,4.5,1.5,1,1,1,4.6,1
6.7,3.1,4.7,1.5,1,1,1,4.9,1
6.3,2.5,4.9,1.5,1,1,1,5.0,2
6.0,2.7,5.1,1.6,1,2,2,5.8,2
6.0,3.4,4.5,1.6,1,1,1,4.6,1
7.2,3.0,5.8,1.6,2,2,2,5.8,2
6.3,3.3,4.7,1.6,1,1,1,4.9,1
4.9,2.5,4.5,1.7,2,1,1,4.6,1
6.7,3.0,5.0,1.7,1,2,2,5.1,2
