      0.177243525447; 3;6;7
      0.169920847269; 0;3
      0.168487936580; 0;1;2;4;7
      0.164693371048; 1;2;3;5
      0.164278796718; 0;1;2
      0.164270129339; 1;2;4;5
      0.163796715632; 2;3;5;6;7
      0.162216383495; 3;4;5;6
      0.161873704791; 1;2;3;5;7
      0.161787068004; 5;6
      0.161671012170; 0;1;2;3
      0.161591668043; 0;1;7
      0.161486063436; 1;2;5
      0.160300935972; 1;4;5
      0.160237443604; 0;3;4;6;7
      0.160223761643; 1;3;5;6;7
      0.159963405630; 1;2;4;5;7
      0.159683389075; 3;6
      0.159589743590; 1;7
      0.159489036413; 2;3;4;5;6
      0.159394364498; 0;1;2;5;7
      0.159174694308; 1;3;5;6
      0.159137123746; 1;2
      0.158998925044; 3;5;6;7
      0.158872771213; 0;1;2;3;5;7
      0.158707436120; 0;1;2;5
      0.158610398470; 1;2;3;4;6
      0.158504354463; 0;3;5;6;7
      0.158275036328; 0;1;2;3;5;6
      0.157644893792; 0;3;6;7
      0.157371356466; 0;3;4;5;6
      0.157150382390; 1;2;6
      0.157047437722; 1;2;4
      0.157020105088; 1;2;7
      0.156978192119; 2;3;4;6
      0.156789651564; 0;2;3;4;6
      0.156760061078; 1;3;7
      0.156674974661; 1;2;3;4;5
      0.156407569230; 1;3;4;5;6
      0.156355828729; 0;1;3;5;7
      0.156159837498; 1;3;4;6
      0.156096375032; 1;3;5
      0.156090349237; 3;5;6
      0.156015396873; 0;3;4;7
      0.155936537359; 0;1;5;7
      0.155685698253; 1;2;3;5;6
      0.155672784386; 2;3;6;7
      0.155478443686; 3;4;6;7
      0.155352285396; 3;7
      0.155072869878; 1;2;4;7
      0.154690272229; 0;1;3;5;6;7
      0.154650937519; 1;2;3;6;7
      0.154389790394; 2;3;4;6;7
      0.154341200559; 1;3;6
      0.154265725245; 0;3;5;7
      0.153730505287; 0;1;3;7
      0.153356744705; 0;1
      0.153140517899; 1;3;4;5;6;7
      0.153103016905; 1;3;4;5
      0.152994640320; 1;2;3;4
      0.152940914158; 1;4
      0.152839350148; 0;1;2;3;6
      0.152502787068; 0;4
      0.151613283059; 0;3;5
      0.151558929654; 1;2;3
      0.151514970957; 0;3;4;5;7
      0.151474735703; 0;3;5;6
      0.151371654318; 0;1;2;3;5
      0.151272580432; 0;1;2;3;6;7
      0.151194829438; 0;1;3
      0.151098050505; 3;4;6
      0.151055319903; 1;2;3;6
      0.150986384785; 1;2;4;5;6
      0.150984237055; 2;5;6
      0.150950365729; 4;5;6
      0.150804905240; 4;5
      0.150423139799; 2;3;4;5;6;7
      0.150276411895; 0;2;3;4;5;6;7
      0.150248705442; 2;3;5;6
      0.150233778922; 1;2;5;7
      0.150030258222; 0;1;2;3;4
      0.149886183080; 0;1;3;6;7
      0.149186273404; 3;4;5;6;7
      0.148916099536; 1;4;6;7
      0.148901298989; 0;3;7
      0.148308449909; 1;3;4;7
      0.148170410591; 0;1;3;5
      0.148154532257; 5;6;7
      0.148150104772; 0;1;3;4;6
      0.148025739505; 0;2;3;5;6
      0.147995607694; 0;1;2;7
      0.147971833786; 0;1;2;4;5;6
      0.147952429012; 0;4;5;6;7
      0.147921932471; 0;2;3;6;7
      0.147877369008; 1;3
      0.147762852479; 1;2;3;5;6;7
      0.147625661822; 0;1;3;4;5;7
      0.147550224942; 0;1;4
      0.147528921695; 0;1;2;4
      0.147431420864; 1;2;5;6
      0.147315683609; 0;1;2;6
      0.147210353030; 0;1;2;3;4;5;6
      0.147191776682; 0;1;2;3;4;6
      0.147138680026; 0;1;3;4;7
      0.147062098161; 0;1;3;6
      0.146948910591; 0;2;3;7
      0.146929175738; 0;4;5;6
      0.146905995713; 1;2;3;7
      0.146893727290; 1;4;6
      0.146890269729; 0;1;4;5;7
      0.146783386662; 2;3;4
      0.146651059086; 1;5
      0.146608318043; 0;5;6;7
      0.146513012703; 0;1;2;3;7
      0.146487179487; 3;5
      0.146247918440; 0;1;3;4;5;6
      0.146003898584; 0;2;3;4;5;6
      0.145950091690; 4;6;7
      0.145913043478; 2;4
      0.145854059111; 0;3;4;5;6;7
      0.145467112598; 4;7
      0.145426598766; 0;2;4;5;6
