      0.477996715127; 3;10
      0.379022456315; 3;9;10
      0.368657819326; 0;3;10
      0.363449057038; 3;7;10
      0.346583184199; 3;8;10
      0.338723938997; 2;3;10
      0.327358792907; 3;6;10
      0.314219419818; 3;4;10
      0.304814027704; 1;3;10
      0.299074898698; 3;5;10
      0.297322503008; 7;9
      0.289220899600; 3;7
      0.278093879078; 0;1
      0.274025785430; 3;7;9;10
      0.270766566470; 0;3;9;10
      0.265974078772; 7;10
      0.258876668040; 1;3;7;10
      0.255086768607; 3;5;7;10
      0.255057758011; 3;8;9;10
      0.254076835724; 0;3;7;10
      0.251854010067; 0;3;5;10
      0.251832932029; 3;7;8;10
      0.250689224273; 3;4;7;10
      0.250145623963; 3;9
      0.249281065415; 1;3;9;10
      0.248513872342; 2;3;9;10
      0.245864901075; 2;3;7;10
      0.245312262682; 0;1;3;10
      0.241258949476; 3;6;9;10
      0.238717756523; 0;7;8
      0.237178135401; 3;6;7;10
      0.236103470075; 3;7;9
      0.234863076072; 2;4
      0.230736945337; 3;7;8;9;10
      0.229591051939; 2;3;4;10
      0.229354480163; 7;9;10
      0.229267216810; 3;5;7;9;10
      0.228043441067; 3;4;9;10
      0.227984802761; 1;3;7;9;10
      0.227504390672; 0;3
      0.225534763438; 3;8;9
      0.224625071954; 0;3;6;10
      0.224069842125; 3;4;5;7;10
      0.223898802866; 0;3;8;10
      0.220994719545; 7;8;9
      0.220091355681; 3;4;7
      0.218378027737; 3;7;8
      0.218271457491; 1;3;8;10
      0.217390156280; 0;1;3;6;10
      0.215790458565; 1;3;5;10
      0.214984281251; 2;3;5;10
      0.214971501248; 0;3;5;7;10
      0.214779695582; 1;7;9
      0.214418073308; 8;9
      0.214164871437; 3;5;9;10
      0.214115362318; 3;4;5;9;10
      0.213382972581; 0;3;8;9;10
      0.212833638018; 1;2;3;10
      0.212661661910; 0;1;3;7;10
      0.212544258785; 0;1;7
      0.212440843813; 5;7;9
      0.212265912122; 9;10
      0.212174637107; 0;7;9
      0.211752799220; 0;3;5;9;10
      0.211728858042; 3;5;6;10
      0.211469568192; 2;3;7;9;10
      0.211395846610; 0;3;7;9;10
      0.211355860771; 3;6;8;9;10
      0.211104931719; 3;4;6;10
      0.211087879695; 0;3;7;8;10
      0.210880323387; 0;1;3;9;10
      0.210774350390; 0;3;6;9;10
      0.210664045114; 0;3;7
      0.210263753600; 0;1;3
      0.210107427789; 8;9;10
      0.210055724297; 1;3;6;10
      0.209870312551; 0;7
      0.209422943090; 0;3;9
      0.208906086258; 0;3;6
      0.208253872520; 2;3;4;9
      0.207765550681; 0;2;3;5;10
      0.207496312477; 3;6;7;8;10
      0.207416553123; 3;4;7;8;10
      0.207104011716; 1;3;5;7;10
      0.205947928242; 0;2;3;7;10
      0.205778576866; 1;3;7
      0.205115676570; 3;5;8;10
      0.204994134329; 0;3;4;10
      0.204866615757; 3;6;8;10
      0.204680926623; 3;6;7
      0.204576207885; 3;4;8;10
      0.204457398086; 2;3;7
      0.204147617301; 0;2;3;10
      0.204118722979; 2;7;9
      0.203703976181; 2;3;4;9;10
      0.203416207443; 2;3;4;7;10
      0.203404067293; 3;5;9
      0.203112281080; 1;3;4;10
      0.203055336568; 6;7;9
      0.202456792636; 0;3;7;9
      0.201901444447; 0;1;3;4;10
      0.201360794548; 3;5;8;9;10
      0.200625424242; 2;3;5;7;9;10
      0.200452021720; 0;1;3;8;10
      0.199995771945; 7;8
      0.199857172795; 0;3;8
      0.199852024978; 3;4;5;10
      0.199703412709; 3;4;7;9;10
      0.199422136322; 2;3;8;10
      0.199190338650; 0;1;10
      0.199120501340; 3;6;7;9;10
      0.198949858859; 0;1;3;5;10
      0.198911359758; 2;4;7
      0.198284703029; 2;3;5;7;10
      0.197401483497; 0;1;2;3;10
      0.197229567112; 2;5
      0.196818342812; 1;3;7;8;10
      0.196785674981; 2;4;7;9
      0.196747720502; 0;1;9
      0.196621316244; 2;3;6;7;10
      0.196598271558; 3;5;6;9;10
      0.196269437078; 3;6;9
      0.196111469308; 0;7;8;9
      0.196074348531; 7;8;10
      0.195926151421; 3;4;6;7;10
      0.195909372581; 1;3;7;8;9;10
      0.195663135085; 2;3;5;9;10
      0.195337128979; 0;3;4;7;10
      0.195228193572; 0;8;9
      0.194784978928; 0;2;4;7
      0.194379886813; 0;2;3;9;10
      0.193590867670; 0;1;3;4;8;10
      0.193559848397; 1;2;3;7;10
      0.193509528988; 2;3;4;5;10
      0.193369539443; 0;5;7;9
      0.193366687022; 0;2;3;4;10
      0.193327139627; 3;5;7
      0.192720580770; 3;5;7;8;9;10
      0.192661717805; 0;3;4;9;10
      0.192557141023; 2;3;4;7
      0.192465097188; 1;3;6;9;10
      0.192287643866; 2;3;6;10
      0.192211727027; 0;3;7;8;9;10
      0.192191069036; 0;3;8;9
      0.191671305132; 3;5;7;9
      0.191609972116; 0;3;5;7;8;10
      0.191475246109; 0;1;3;7;8;10
      0.191054657142; 3;5;7;8;9
      0.190288724537; 1;3;8;9;10
      0.189884567860; 0;3;5;8;10
      0.189826795402; 0;1;4
      0.189587929615; 1;2;3;9;10
      0.189338775709; 0;1;3;9
      0.189254508503; 3;4;6;9;10
      0.188903312426; 1;3;9
      0.188892903680; 1;3;5;9;10
      0.188345184200; 3;4;5;7;9;10
      0.188283572381; 3;8
      0.188258562018; 5;7;8;9;10
      0.187962956700; 0;7;10
      0.187907824944; 3;7;8;9
      0.187700699682; 0;2;7
      0.187413445598; 7;8;9;10
      0.187274118968; 0;3;5;8;9;10
      0.187159122822; 0;3;6;7;10
      0.186952584508; 0;7;8;10
      0.186744007281; 0;7;9;10
      0.186679090367; 2;4;5
      0.186518856571; 0;1;7;10
      0.186273029891; 2;3;6;9;10
      0.186252444791; 2;3;5;7
      0.185977812673; 1;3;4;7;10
      0.185271490898; 0;3;6;8;9;10
      0.185169772661; 0;10
      0.185119526992; 0;1;3;4;7;10
      0.184704123504; 0;1;6
      0.184595520155; 0;3;4;5;10
      0.184547000378; 3;6;7;9
      0.184418430296; 0;3;5;6;10
      0.184348837869; 3;4;8;9;10
      0.184237399751; 1;7;8
      0.184200611906; 3;4;6;7;8;9;10
      0.183966476461; 1;3;7;9
      0.183792609473; 0;1;3;8;9;10
      0.183658198612; 0;1;9;10
      0.183589915303; 2;3;4;8;9;10
      0.183417287342; 1;2;3;7;9;10
      0.182949655095; 3;5;7;8;10
      0.182550686120; 0;3;4;6;10
      0.182515803353; 2;3;7;9
      0.182508146427; 0;3;5;7;9;10
      0.182460000366; 0;1;3;8
      0.182334005209; 0;1;2;5
      0.182327559032; 2;3;6;7;9;10
      0.182273362655; 1;2;3;8;9;10
      0.182149487726; 2;4;9
      0.181679489258; 0;3;4;7;8;9;10
      0.181596787139; 3;4;6;7;8;10
      0.181474013124; 2;5;7;9;10
      0.181415108711; 3;4;9
      0.181091043447; 2;3;4;7;9;10
      0.180783704269; 1;7;8;9
      0.180686481729; 3;4;5;7;8;9;10
      0.180520753649; 0;3;4;5;9;10
      0.180513094389; 2;4;8
      0.180419512970; 0;3;4;5;8;9;10
      0.180404508462; 0;2;3;4;5;10
      0.180392202816; 2;3;4;6;10
      0.179986432433; 0;3;4;7;8;10
      0.179841032824; 1;2;3;5;9;10
      0.179794371819; 1;3;6;7;10
      0.179597602333; 2;3;8;9;10
      0.179508025424; 3;4;6;7;9;10
      0.179463706532; 0;2;7;8
      0.179271346159; 0;3;5;7;8;9;10
      0.179234322613; 0;2;3;8;10
      0.179213529158; 0;1;2
      0.179091696158; 6;7;8;9
      0.178943464891; 0;4;7
      0.178802900664; 4;7;8;9
      0.178710984095; 0;3;5;6;7;10
      0.178443206460; 2;3;4;5;7;9;10
      0.178405917786; 0;3;6;8;10
      0.178401682642; 2;3;4;8;10
      0.178365368400; 2;3;4;5;7;10
      0.178361087528; 2;3;7;8;10
      0.178327248600; 3;5;6;7;10
      0.178274890817; 0;5;7
      0.178152917646; 0;1;3;7;8;9;10
      0.177928661532; 1;3;4;7;8;9;10
      0.177752445665; 3;4;7;8;9;10
      0.177707400617; 1;3;7;8
      0.177661608522; 1;7;9;10
      0.177643594989; 0;1;6;10
      0.177635714441; 2;3;9
      0.177586276084; 0;1;7;8;10
      0.177493847198; 0;1;3;4;5;7;9;10
      0.177467425241; 0;2;3;4;9;10
      0.177447087226; 0;1;3;7;9;10
      0.177364392057; 4;7;9;10
      0.177362148577; 0;9;10
      0.177309360266; 3;4;6;8;10
      0.177218537180; 3;4;5;7;9
      0.177200150040; 0;1;3;5;7;10
      0.177054916168; 2;4;7;10
      0.176847448540; 0;1;7;9
      0.176781613035; 0;1;2;3;5;10
      0.176740169773; 0;9
      0.176697510286; 2;3;5;7;9
      0.176652986555; 1;3;5;8;9;10
      0.176609359932; 0;1;7;8
      0.176506718270; 2;3;5;9
      0.176421909161; 1;3;5;7;8;9;10
      0.176357084752; 1;3;4;5;7;9;10
