      0.271701680672; 1;4
      0.258386479762; 1;3;4
      0.252669400157; 0;1;4
      0.240157563025; 3;4
      0.236195356989; 0;3;4
      0.227640056022; 2;4
      0.225591736695; 1;3
      0.224464285714; 0;4
      0.223872266067; 0;3;4;7
      0.220908239150; 1;3;4;5
      0.220132802419; 1;2;4
      0.220116242837; 2;3;4
      0.219282207151; 1;3;4;6
      0.215860795516; 0;2;3;4
      0.215071445762; 0;1;2;4
      0.214837651824; 0;3;4;5
      0.212398693961; 0;1;3;4
      0.210863336690; 0;3;4;6
      0.209618697077; 2;3;4;7
      0.209313395501; 0;1;4;5
      0.209072785710; 3;4;5
      0.205210913044; 0;1;4;6
      0.204983268773; 0;1;3;4;5
      0.204858246111; 0;2;4;7
      0.204397701280; 0;1;4;7
      0.204287265265; 1;2;4;7
      0.204280691867; 1;2;3;4
      0.203941419735; 1;3;4;7
      0.203351137673; 0;1;2;4;7
      0.203107285576; 3;4;6
      0.203065776047; 3;4;7
      0.200277710725; 0;1;3;4;6
      0.199897190778; 0;4;5
      0.199410036407; 3;4;5;6
      0.199072469780; 1;4;5
      0.198438079420; 0;2;3;4;7
      0.198291316527; 1;2
      0.197754223714; 1;4;6
      0.197139243357; 0;3;4;6;7
      0.196842323375; 2;3;4;5
      0.196583005049; 1;3;4;5;7
      0.196288785640; 0;2;3;4;5;7
      0.195772649567; 0;2;4
      0.194499299720; 0;3
      0.193766678939; 0;1;2;3;4
      0.193394461143; 0;4;6
      0.192529685374; 2;3;7
      0.192422087812; 0;2;3;7
      0.192082217188; 0;1;3;4;5;6
      0.192014908565; 0;1;3;4;7
      0.191830435276; 1;2;4;5
      0.191796718024; 0;1;2;3;4;6
      0.191310336926; 0;1;3;5
      0.191307777979; 0;2;3;4;5
      0.190745929126; 0;2;4;6
      0.190612714999; 1;2;3;4;5;7
      0.190590184437; 2;3;4;6
      0.190541577042; 1;2;3;4;7
      0.190492822629; 0;3;4;5;6
      0.190102037418; 0;1;4;5;7
      0.189716007203; 1;2;4;5;7
      0.189550707083; 2;4;7
      0.188404580140; 0;1;2;3;4;5
      0.187962238641; 0;3;4;5;7
      0.187894801717; 0;4;5;7
      0.187800601063; 1;3;5;6
      0.187768433159; 1;3;4;5;6
      0.187367744717; 0;4;7
      0.187229123403; 1;2;4;6
      0.187153458662; 0;2;3;4;6;7
